abstract,term
"Currently, the number of patients with coronavirus disease 2019 (COVID-19) has increased rapidly, but relationship between comorbidity and patients with COVID-19 still not clear. The aim was to explore whether the presence of common comorbidities increases COVID-19 patients' risk. A literature search was performed using the electronic platforms (PubMed, Cochrane Library, Embase, and other databases) to obtain relevant research studies published up to March 1, 2020. Relevant data of research endpoints in each study were extracted and merged. All data analysis was performed using Stata12.0 software. A total of 1558 patients with COVID-19 in 6 studies were enrolled in our meta-analysis eventually. Hypertension (OR: 2.29, P<0.001), diabetes (OR: 2.47, P<0.001), chronic obstructive pulmonary disease (COPD) (OR: 5.97, P<0.001), cardiovascular disease (OR: 2.93, P<0.001), and cerebrovascular disease (OR:3.89, P=0.002)were independent risk factors associated with COVID-19 patients. The meta-analysis revealed no correlation between increased risk of COVID-19 and liver disease, malignancy, or renal disease. Hypertension, diabetes, COPD, cardiovascular disease, and cerebrovascular disease are major risk factors for patients with COVID-19. Knowledge of these risk factors can be a resource for clinicians in the early appropriate medical management of patients with COVID-19.",covid
"A new coronavirus, called SARS-CoV-2, was identified in Wuhan, China, in December 2019. The SARS-CoV-2 spread very rapidly, causing a global pandemic, Coronavirus Disease 2019 (COVID-19). Older adults have higher peak of viral load and, especially those with comorbidities, had higher COVID-19-related fatality rates than younger adults. In this Perspective paper, we summarize current knowledge about SARS-CoV-2 and aging, in order to understand why older people are more affected by COVID-19. We discuss about the possibility that the so-called ""immunosenescence"" and ""inflammaging"" processes, already present in a fraction of frail older adults, could allow the immune escape of SARS-CoV-2 leading to COVID-19 serious complications. Finally, we propose to use geroscience approaches to the field of COVID-19.",covid
"Background and aims: Diabetes mellitus is associated with poor prognosis in patients with COVID-19. On the other hand, COVID-19 contributes to worsening of dysglycemia in people with diabetes mellitus over and above that contributed by stress hyperglycemia. Herein, we have reviewed the two-way interactions between COVID-19 and diabetes mellitus. Methods: We have performed an extensive literature search for articles in PubMed, EMBASE and Google Scholar databases till April 25, 2020, with the following keywords: ""COVID-19"", ""SARS-CoV-2"", ""diabetes"", ""diabetes mellitus"", ""SARS"", ""infection"" and ""management of diabetes mellitus"" with interposition of the Boolean operator ""AND"". Results: Compromised innate immunity, pro-inflammatory cytokine milieu, reduced expression of ACE2 and use of renin-angiotensin-aldosterone system antagonists in people with diabetes mellitus contribute to poor prognosis in COVID-19. On the contrary, direct β-cell damage, cytokine-induced insulin resistance, hypokalemia and drugs used in the treatment of COVID-19 (like corticosteroids, lopinavir/ritonavir) can contribute to worsening of glucose control in people with diabetes mellitus. Conclusions: The two-way interaction between COVID-19 and diabetes mellitus sets up a vicious cycle wherein COVID-19 leads to worsening of dysglycemia and diabetes mellitus, in turn, exacerbates the severity of COVID-19. Thus, it is imperative that people with diabetes mellitus take all necessary precautions and ensure good glycemic control amid the ongoing pandemic.",covid
"Eosinophils are circulating and tissue-resident leukocytes that have potent proinflammatory effects in a number of diseases. Recently, eosinophils have been shown to have various other functions, including immunoregulation and antiviral activity. Eosinophil levels vary dramatically in a number of clinical settings, especially following eosinophil-targeted therapy, which is now available to selectively deplete these cells. There are key coronavirus disease 2019 (COVID-19)-related questions concerning eosinophils whose answers affect recommended prevention and care. First, do patients with eosinophilia-associated diseases have an altered course of COVID-19? Second, do patients with eosinopenia (now intentionally induced by biological drugs) have unique COVID-19 susceptibility and/or disease course? This is a particularly relevant question because eosinopenia is associated with acute respiratory deterioration during infection with the severe acute respiratory syndrome coronavirus 2, the causative agent of COVID-19. Third, do eosinophils contribute to the lung pathology induced during COVID-19 and will they contribute to immunopotentiation potentially associated with emerging COVID-19 vaccines? Herein, we address these timely questions and project considerations during the emerging COVID-19 pandemic.",covid
"Purpose: Otorhinolaryngological manifestations are common symptoms of COVID-19. This study provides a brief and precise review of the current knowledge regarding COVID-19, including disease transmission, clinical characteristics, diagnosis, and potential treatment. The article focused on COVID-19-related information useful in otolaryngologist practice. Methods: The Medline and Web of Science databases were searched without a time limit using terms ""COVID-19"", ""SARS-CoV-2"" in conjunction with ""otorhinolaryngological manifestation"", ""ENT"", and ""olfaction"". Results: The most common otolaryngological dysfunctions of COVID-19 were cough, sore throat, and dyspnea. Rhinorrhea, nasal congestion and dizziness were also present. COVID-19 could manifest as an isolated sudden hyposmia/anosmia. Upper respiratory tract (URT) symptoms were commonly observed in younger patients and usually appeared initially. They could be present even before the molecular confirmation of SARS-CoV-2. Otolaryngologists are of great risk of becoming infected with SARS-CoV-2 as they cope with URT. ENT surgeons could be easily infected by SARS-CoV-2 during performing surgery in COVID-19 patients. Conclusion: Ear, nose and throat (ENT) symptoms may precede the development of severe COVID-19. During COVID-19 pandemic, patients with cough, sore throat, dyspnea, hyposmia/anosmia and a history of travel to the region with confirmed COVID-19 patients, should be considered as potential COVID-19 cases. An otolaryngologist should wear FFP3/N95 mask, glasses, disposable and fluid resistant gloves and gown while examining such individuals. Not urgent ENT surgeries should be postponed. Additional studies analyzing why some patients develop ENT symptoms during COVID-19 and others do not are needed. Further research is needed to determine the mechanism leading to anosmia.",covid
"Background: COVID-19 pneumonia is a newly recognized illness that is spreading rapidly around the world and causes many disability and deaths. Some diseases, for instance diabetes, is continuously suggested as a risk factor which contributes to the severity and mortality of COVID-19. However, to date, there are no comprehensive studies aiming to explain the exact relationship between diabetes and COVID-19. Thus, this study aims to summarize the evidence about diabetes and COVID-19 outbreak through a systematic review and meta-analysis approach. Method: A literature review was implemented within databases of Scopus, PubMed, Science direct, and Web of science. Observational reviews, case-report, and case-series studies that assessed the diabetes in COVID-19 patients, were included. Data extraction and assessment were guided by PRISMA checklist. Findings: Some studies suggest that there were no significant differences in symptoms between patients who suffered from both diabetes and COVID-19 and those who only suffered COVID-19. In the subsequent meta-analysis 14.5% of the subjects were diabetic patient. These clients have poor ARDS prognosis, severe symptoms, and the death rate is higher among COVID-19 patients. In addition, it is suggested the diabetic patients will be treated with antibiotics, antivirals, and HCQ. Conclusion: The results of this study show that diabetes is a risk factor - and contributes to the severity and mortality of patients with COVID-19. This paper also provides recommendations and guidelines for which could be useful for prevention and treatment of diabetic patients affected by COVID-19.",covid
"Background: A novel coronavirus (COVID-19) has raised world concern since it emerged in Wuhan, China in December 2019. The infection may result in severe pneumonia with clusters of illness onsets. Its impacts on public health make it paramount to clarify the clinical features with other pneumonias. Methods: Nineteen COVID-19 and 15 other patients with pneumonia (non-COVID-19) in areas outside of Hubei were involved in this study. Both COVID-19 and non-COVID-19 patients were confirmed to be infected using throat swabs and/or sputa with/without COVID-2019 by real-time RT-PCR. We analyzed the demographic, epidemiological, clinical, and radiological features from those patients, and compared the differences between COVID-19 and non-COVID-19. Results: All patients had a history of exposure to confirmed cases of COVID-19 or travel to Hubei before illness. The median (IQR) duration was 8 (6-11) and 5 (4-11) days from exposure to onset in COVID-19 and non-COVID-19 cases, respectively. The clinical symptoms were similar between COVID-19 and non-COVID-19. The most common symptoms were fever and cough. Fifteen (78.95%) COVID-19 but 4 (26.67%) non-COVID-19 patients had bilateral involvement while 17 COVID-19 patients (89.47%) but 1 non-COVID-19 patient (6.67%) had multiple mottling and ground-glass opacity on chest CT images. Compared with non-COVID-19, COVID-19 presents remarkably more abnormal laboratory tests, including AST, ALT, γ-GT, LDH, and α-HBDH. Conclusions: The COVID-19 infection has onsets similar to other pneumonias. CT scan may be a reliable test for screening COVID-19 cases. Liver function damage is more frequent in COVID-19 than non-COVID-19 patients. LDH and α-HBDH may be considerable markers for evaluation of COVID-19.",covid
"The impact of the COVID-19 pandemic is far reaching, with devastating effects on individuals, communities, and societies across the world. People with chronic health conditions may be at greater risk of contracting or experiencing complications from COVID-19. In addition to illness or death for those who contract the virus, the physical distancing required to flatten the curve of new cases is having a negative impact on the economy, the effects of which intersect with mental health and other existing health concerns, thus affecting marginalized communities. Given that HIV also has a disproportionate impact on marginalized communities, COVID-19 is affecting people with HIV (PWH) in unique ways and will continue to have an impact on HIV research and treatment after the COVID-19 crisis passes. Using the biopsychosocial framework to contextualize the impact of COVID-19 on PWH, the purpose of this review article is to: (1) outline the similarities and differences between the COVID-19 and HIV pandemics; (2) describe the current and future impact of COVID-19 on PWH; and (3) outline a call to action for scientists and practitioners to respond to the impact of COVID-19 on HIV prevention and treatment.",covid
"The coronavirus disease 2019 (COVID-2019) that emerged in Wuhan, China, has rapidly spread to many countries across all six WHO regions. However, its pathobiology remains incompletely understood and many efforts are underway to study it worldwide. To clarify its pathogenesis to some extent, it will inevitably require lots of COVID-2019-associated pathological autopsies. Pathologists from all over the world have raised concerns with pathological autopsy relating to COVID-2019. The issue of whether a person died from COVID-2019 infection or not is always an ambiguous problem in some cases, and ongoing epidemiology from China may shed light on it. This review retrospectively summarizes the research status of pathological autopsy for COVID-2019 deaths in China, which will be important for the cause of death, prevention, control and clinical strategies of COVID-2019. Moreover, it points out several challenges at autopsy. We believe pathological studies from China enable to correlate clinical symptoms and pathological features of COVID-2019 for doctors and provide an insight into COVID-2019 disease.",covid
"The coronavirus disease (COVID-19) is highly pathogenic viral infection caused by SARS-CoV-2. Currently, COVID-19 has caused global health concern. It is assumed that COVID-19 has zoonotic origin based on the large number of infected people who were exposed to the wet market in Wuhan City, China. The phylogenetic analysis has revealed that SARS-CoV-2 has significant sequence similarity with severe acute respiratory syndrome-like (SARS-like) bat viruses, thus bats could be primary possible reservoir. The intermediate host and there subsequent transfer is not known yet, although human to human transfer is widely confirmed. The transmission of COVID-19 infection from one person to another resulted in the isolation of patients who were subsequently given a variety of treatments. To monitor the current outbreak, robust steps have been taken around the globe to reduce the transmission of COVID-19 infection particularly banning international and domestic flights, inducting lockdowns in vulnerable areas, social distancing etc. No clinically approved antiviral drug or vaccine against COVID-19 is reported yet. However, in clinical trials, few broad-spectrum antiviral drugs were evaluated against COVID-19 infection which resulted in clinical recovery. In this article emergence and pathogenicity of COVID-19 infection along with potential therapeutic strategies are analyzed to combat the COVID-19 pandemic.",covid
"Unprecedented measures have been adopted to control the rapid spread of the ongoing COVID-19 epidemic in China. People's adherence to control measures is affected by their knowledge, attitudes, and practices (KAP) towards COVID-19. In this study, we investigated Chinese residents' KAP towards COVID-19 during the rapid rise period of the outbreak. An online sample of Chinese residents was successfully recruited via the authors' networks with residents and popular media in Hubei, China. A self-developed online KAP questionnaire was completed by the participants. The knowledge questionnaire consisted of 12 questions regarding the clinical characteristics and prevention of COVID-19. Assessments on residents' attitudes and practices towards COVID-19 included questions on confidence in winning the battle against COVID-19 and wearing masks when going out in recent days. Among the survey completers (n=6910), 65.7% were women, 63.5% held a bachelor degree or above, and 56.2% engaged in mental labor. The overall correct rate of the knowledge questionnaire was 90%. The majority of the respondents (97.1%) had confidence that China can win the battle against COVID-19. Nearly all of the participants (98.0%) wore masks when going out in recent days. In multiple logistic regression analyses, the COVID-19 knowledge score (OR: 0.75-0.90, P<0.001) was significantly associated with a lower likelihood of negative attitudes and preventive practices towards COVID-2019. Most Chinese residents of a relatively high socioeconomic status, in particular women, are knowledgeable about COVID-19, hold optimistic attitudes, and have appropriate practices towards COVID-19. Health education programs aimed at improving COVID-19 knowledge are helpful for Chinese residents to hold optimistic attitudes and maintain appropriate practices. Due to the limited sample representativeness, we must be cautious when generalizing these findings to populations of a low socioeconomic status.",covid
"Sars-CoV-2 virus infection (COVID-19) was observed in China in the last months of 2019. In the following period, this infection spread all over the world. In March 2020, the World Health Organization announced the existence of a pandemic. The aim of this manuscript is to investigate skin diseases associated with COVID-19 under three main headings: Skin problems related to personal protective equipment and personal hygiene measures, skin findings observed in SARS-CoV-2 virus infection and finally skin findings due to COVID- 19 treatment agents. Pressure injury, contact dermatitis, itch, pressure urticaria, exacerbation of pre-existing skin diseases and new skin lesion occurence / new skin disease occurence may be due to personal protective equipment. Skin problems related to personal hygiene measures could cause itch, dryness and contact dermatitis. Skin findings could also be observed in SARS-CoV-2 virus infection. The incidence of skin lesions because of COVID-19 was reported between 0.2% and 29%. Many skin lesions such as maculopapular, urticarial, vesicular, chilblain- like, thrombotic / ischemic etc. could be observed in COVID-19. Some authors state that the SARS-CoV-2 virus infection specific skin finding is absent. But, especially in asymptomatic or pre-symptomatic COVID-19 patients, skin lesions can lead to the diagnosis of COVID-19. In addition skin lesions could occur due to COVID-19 treatment agents. As a result, many skin lesions could appear because of COVID-19. Even if there were no COVID-19 diagnosis, skin findings should be evaluated carrefully in this pandemic period. Key worlds: SARS-CoV-2, COVID-19, dermatology, skin findings.",covid
"The current pandemic coronavirus disease (COVID-19) is an ongoing healthcare crisis. While COVID- 19 typically presents as fever and respiratory illness, almost 50% of the patients also have associated digestive symptoms which vary from abdominal pain to diarrhoea and indigestion. Literature review of association of COVID- 19 with digestive symptoms was done using Google search and the results are presented herein.",covid
"The COVID-19 pandemic has predominantly affected the adult population. The disease is less well-defined in children (≤18 years). This review summarises the current understanding of the epidemiology, clinical manifestations, and management of COVID-19 in children and adolescents. The prevalence of COVID-19 is significantly lower in children than adults, but paediatric disease is likely underdiagnosed as a result of the high numbers of asymptomatic or mild cases. Children are vulnerable to family cluster outbreaks, but are unlikely to be index cases within a household. Vertical transmission or breast milk transmission are yet to be proven. Between 10 and 90% of paediatric COVID-19 cases are asymptomatic. Symptomatic cases typically present with mild symptoms, including cough, fever and sore throat. Intensive care admission and mortality are rare. Paediatric multisystem inflammatory syndrome temporally associated with COVID-19 is a rare, but severe, newly emerging phenotype. At present, there is no specific treatment for COVID-19 in adults or children; management is usually supportive. For severe or critical disease, including paediatric multisystem inflammatory syndrome temporally associated with COVID-19, the decision to start antiviral or immunomodulatory therapy should be on a case-by-case basis; in the UK, this should be done within a clinical trial. Further research is needed into both the disease course and treatment of paediatric COVID-19.",covid
"Since December 2019, there has been an outbreak of a novel coronavirus (COVID-19) infection in Wuhan, China. Meanwhile, the outbreak also drew attention and concern from the World Health Organization (WHO). COVID-19 is another human infectious disease caused by coronavirus. The transmission of COVID-19 is potent and the infection rate is fast. Since there is no specific drug for COVID-19, the treatment is mainly symptomatic supportive therapy. In addition, it should be pointed out that patients with severe illness need more aggressive treatment and meticulous care. Recently, accurate RNA detection has been decisive for the diagnosis of COVID-19. The development of highly sensitive RT-PCR has facilitated epidemiological studies that provide insight into the prevalence, seasonality, clinical manifestations and course of COVID-19 infection. In this review, we summarize the epidemiology and characteristics of COVID-19.",covid
"Background: Coronavirus disease 2019 (COVID-19) has aroused global health concerns, particularly in relation to diabetes where it has been associated with poorer outcomes. The bulk of the evolving evidence in diabetes and COVID-19 relates to type 2 diabetes (T2D). Since there are a significant number of patients with type 1 diabetes (T1D) with unique concerns and challenges during the ongoing COVID-19 pandemic, we reviewed existing literature, relevant websites, and related guidelines to form this narrative review to help address key questions in this area. Methods: We systematically searched the PubMed database up to May 31, 2020, and retrieved all the articles published on T1D and COVID-19. Results: We found 18 relevant articles, each of which carried a part of the evidence regarding the risk of contracting COVID-19 in patients with T1D, effect of COVID-19 on development of T1D, outcomes in T1D with COVID-19, and special management issues in T1D in the light of COVID-19. These have been documented in the present review. Conclusion: COVID-19 with T1D presents special challenges. While the available evidence does shed some light, we need more evidence to deal with this difficult duo.",covid
"Objectives: Detailed knowledge on the prevalence of asymptomatic cases of coronavirus disease 2019 (COVID-19) and the clinical characteristics of mild COVID-19 is essential for effective control of the COVID-19 pandemic. We determined the prevalence of asymptomatic cases of COVID-19 and characterized the symptoms of patients with mild COVID-19. Methods: Study participants were recruited from a community facility designated for the isolation of patients without moderate-to-severe symptoms of COVID-19 in South Korea. The prevalence of asymptomatic patients at admission and the detailed symptoms of mild COVID-19 were evaluated through a questionnaire-based survey. Diagnosis of COVID-19 was confirmed by real-time RT-PCR. Results: Of the 213 individuals with COVID-19, 41 (19.2%) were asymptomatic until admission. Among the remaining patients with mild COVID-19, the most common symptom was cough (40.1%; 69/172), followed by hyposmia (39.5%; 68/172) and sputum (39.5%; 68/172). Of the 68 individuals with hyposmia, 61 (90%) had accompanying symptoms such as hypogeusia, nasal congestion or rhinorrhoea. Fever (>37.5°C) was only observed in 20 (11.6%) individuals. Conclusions: As much as one-fifth of individuals with COVID-19 remained asymptomatic from exposure to admission. Hyposmia was quite frequent among individuals with mild COVID-19, but fever was not. Social distancing should be strongly implemented to prevent disease transmission from asymptomatic individuals or those with mild and inconspicuous symptoms.",covid
